Passengerid,Age,Sex,num_siblings,Pclass,Embarked,Survived
148,9,1,2,3,2,0
149,37,0,0,2,2,0
150,42,0,0,2,2,0
151,51,0,0,2,2,0
152,22,1,1,1,2,1
153,56,0,0,3,2,0
154,41,0,0,3,2,0
155,28,0,0,3,2,0
156,51,0,0,1,0,0
157,16,1,0,3,1,1
158,30,0,0,3,2,0
159,28,0,0,3,2,0
160,28,0,8,3,2,0
161,44,0,0,3,2,0
162,40,1,0,2,2,1
163,26,0,0,3,2,0
164,17,0,0,3,2,0
165,1,0,4,3,2,0
166,9,0,0,3,2,1
167,28,1,0,1,2,1
168,45,1,1,3,2,0
169,28,0,0,1,2,0
170,28,0,0,3,2,0
171,61,0,0,1,2,0
172,4,0,4,3,1,0
173,1,1,1,3,2,1
174,21,0,0,3,2,0
175,56,0,0,1,0,0
176,18,0,1,3,2,0
177,28,0,3,3,2,0
178,50,1,0,1,0,0
179,30,0,0,2,2,0
180,36,0,0,3,2,0
181,28,1,8,3,2,0
182,28,0,0,2,0,0
183,9,0,4,3,2,0
184,1,0,2,2,2,1
185,4,1,0,3,2,1
186,28,0,0,1,2,0
187,28,1,1,3,1,1
188,45,0,0,1,2,1
189,40,0,1,3,1,0
190,36,0,0,3,2,0
191,32,1,0,2,2,1
192,19,0,0,2,2,0
193,19,1,1,3,2,1
194,3,0,1,2,2,1
195,44,1,0,1,0,1
196,58,1,0,1,0,1
197,28,0,0,3,1,0
198,42,0,0,3,2,0
199,28,1,0,3,1,1
200,24,1,0,2,2,0
201,28,0,0,3,2,0
202,28,0,8,3,2,0
203,34,0,0,3,2,0
204,46,0,0,3,0,0
205,18,0,0,3,2,1
206,2,1,0,3,2,0
207,32,0,1,3,2,0
208,26,0,0,3,0,1
209,16,1,0,3,1,1
210,40,0,0,1,0,1
211,24,0,0,3,2,0
212,35,1,0,2,2,1
213,22,0,0,3,2,0
214,30,0,0,2,2,0
215,28,0,1,3,1,0
216,31,1,1,1,0,1
217,27,1,0,3,2,1
218,42,0,1,2,2,0
219,32,1,0,1,0,1
220,30,0,0,2,2,0
221,16,0,0,3,2,1
222,27,0,0,2,2,0
223,51,0,0,3,2,0
224,28,0,0,3,2,0
225,38,0,1,1,2,1
226,22,0,0,3,2,0
227,19,0,0,2,2,1
228,21,0,0,3,2,0
229,18,0,0,2,2,0
230,28,1,3,3,2,0
231,35,1,1,1,2,1
232,29,0,0,3,2,0
233,59,0,0,2,2,0
234,5,1,4,3,2,1
235,24,0,0,2,2,0
236,28,1,0,3,2,0
237,44,0,1,2,2,0
238,8,1,0,2,2,1
239,19,0,0,2,2,0
240,33,0,0,2,2,0
241,28,1,1,3,0,0
242,28,1,1,3,1,1
243,29,0,0,2,2,0
244,22,0,0,3,2,0
245,30,0,0,3,0,0
246,44,0,2,1,1,0
247,25,1,0,3,2,0
248,24,1,0,2,2,1
249,37,0,1,1,2,1
250,54,0,1,2,2,0
251,28,0,0,3,2,0
252,29,1,1,3,2,0
253,62,0,0,1,2,0
254,30,0,1,3,2,0
255,41,1,0,3,2,0
256,29,1,0,3,0,1
257,28,1,0,1,0,1
258,30,1,0,1,2,1
259,35,1,0,1,0,1
260,50,1,0,2,2,1
261,28,0,0,3,1,0
262,3,0,4,3,2,1
263,52,0,1,1,2,0
264,40,0,0,1,2,0
265,28,1,0,3,1,0
266,36,0,0,2,2,0
267,16,0,4,3,2,0
268,25,0,1,3,2,1
269,58,1,0,1,2,1
270,35,1,0,1,2,1
271,28,0,0,1,2,0
272,25,0,0,3,2,1
273,41,1,0,2,2,1
274,37,0,0,1,0,0
275,28,1,0,3,1,1
276,63,1,1,1,2,1
277,45,1,0,3,2,0
278,28,0,0,2,2,0
279,7,0,4,3,1,0
280,35,1,1,3,2,1
281,65,0,0,3,1,0
282,28,0,0,3,2,0
283,16,0,0,3,2,0
284,19,0,0,3,2,1
285,28,0,0,1,2,0
286,33,0,0,3,0,0
287,30,0,0,3,2,1
288,22,0,0,3,2,0
289,42,0,0,2,2,1
290,22,1,0,3,1,1
291,26,1,0,1,2,1
292,19,1,1,1,0,1
293,36,0,0,2,0,0
294,24,1,0,3,2,0
295,24,0,0,3,2,0
296,28,0,0,1,0,0
297,24,0,0,3,0,0
298,2,1,1,1,2,0
299,28,0,0,1,2,1
300,50,1,0,1,0,1
301,28,1,0,3,1,1
302,28,0,2,3,1,1
303,19,0,0,3,2,0
304,28,1,0,2,1,1
305,28,0,0,3,2,0
306,1,0,1,1,2,1
307,28,1,0,1,0,1
308,17,1,1,1,0,1
309,30,0,1,2,0,0
310,30,1,0,1,0,1
311,24,1,0,1,0,1
312,18,1,2,1,0,1
313,26,1,1,2,2,0
314,28,0,0,3,2,0
315,43,0,1,2,2,0
316,26,1,0,3,2,1
317,24,1,1,2,2,1
318,54,0,0,2,2,0
319,31,1,0,1,2,1
320,40,1,1,1,0,1
321,22,0,0,3,2,0
322,27,0,0,3,2,0
323,30,1,0,2,1,1
324,22,1,1,2,2,1
325,28,0,8,3,2,0
326,36,1,0,1,0,1
327,61,0,0,3,2,0
328,36,1,0,2,2,1
329,31,1,1,3,2,1
330,16,1,0,1,0,1
331,28,1,2,3,1,1
332,46,0,0,1,2,0
333,38,0,0,1,2,0
334,16,0,2,3,2,0
335,28,1,1,1,2,1
336,28,0,0,3,2,0
337,29,0,1,1,2,0
338,41,1,0,1,0,1
339,45,0,0,3,2,1
340,45,0,0,1,2,0
341,2,0,1,2,2,1
342,24,1,3,1,2,1
343,28,0,0,2,2,0
344,25,0,0,2,2,0
345,36,0,0,2,2,0
346,24,1,0,2,2,1
347,40,1,0,2,2,1
348,28,1,1,3,2,1
349,3,0,1,3,2,1
350,42,0,0,3,2,0
351,23,0,0,3,2,0
352,28,0,0,1,2,0
353,15,0,1,3,0,0
354,25,0,1,3,2,0
355,28,0,0,3,0,0
356,28,0,0,3,2,0
357,22,1,0,1,2,1
358,38,1,0,2,2,0
359,28,1,0,3,1,1
360,28,1,0,3,1,1
361,40,0,1,3,2,0
362,29,0,1,2,0,0
363,45,1,0,3,0,0
364,35,0,0,3,2,0
365,28,0,1,3,1,0
366,30,0,0,3,2,0
367,60,1,1,1,0,1
368,28,1,0,3,0,1
369,28,1,0,3,1,1
370,24,1,0,1,0,1
371,25,0,1,1,0,1
372,18,0,1,3,2,0
373,19,0,0,3,2,0
374,22,0,0,1,0,0
375,3,1,3,3,2,0
376,28,1,1,1,0,1
377,22,1,0,3,2,1
378,27,0,0,1,0,0
379,20,0,0,3,0,0
380,19,0,0,3,2,0
381,42,1,0,1,0,1
382,1,1,0,3,0,1
383,32,0,0,3,2,0
384,35,1,1,1,2,1
385,28,0,0,3,2,0
386,18,0,0,2,2,0
387,1,0,5,3,2,0
388,36,1,0,2,2,1
389,28,0,0,3,1,0
390,17,1,0,2,0,1
391,36,0,1,1,2,1
392,21,0,0,3,2,1
393,28,0,2,3,2,0
394,23,1,1,1,0,1
395,24,1,0,3,2,1
396,22,0,0,3,2,0
397,31,1,0,3,2,0
398,46,0,0,2,2,0
399,23,0,0,2,2,0
400,28,1,0,2,2,1
401,39,0,0,3,2,1
402,26,0,0,3,2,0
403,21,1,1,3,2,0
404,28,0,1,3,2,0
405,20,1,0,3,2,0
406,34,0,1,2,2,0
407,51,0,0,3,2,0
408,3,0,1,2,2,1
409,21,0,0,3,2,0
410,28,1,3,3,2,0
411,28,0,0,3,2,0
412,28,0,0,3,1,0
413,33,1,1,1,1,1
414,28,0,0,2,2,0
415,44,0,0,3,2,1
416,28,1,0,3,2,0
417,34,1,1,2,2,1
418,18,1,0,2,2,1
419,30,0,0,2,2,0
420,10,1,0,3,2,0
421,28,0,0,3,0,0
422,21,0,0,3,1,0
423,29,0,0,3,2,0
424,28,1,1,3,2,0
425,18,0,1,3,2,0
426,28,0,0,3,2,0
427,28,1,1,2,2,1
428,19,1,0,2,2,1
429,28,0,0,3,1,0
430,32,0,0,3,2,1
431,28,0,0,1,2,1
432,28,1,1,3,2,1
433,42,1,1,2,2,1
434,17,0,0,3,2,0
435,50,0,1,1,2,0
436,14,1,1,1,2,1
437,21,1,2,3,2,0
438,24,1,2,2,2,1
439,64,0,1,1,2,0
440,31,0,0,2,2,0
441,45,1,1,2,2,1
442,20,0,0,3,2,0
443,25,0,1,3,2,0
444,28,1,0,2,2,1
445,28,0,0,3,2,1
446,4,0,0,1,2,1
447,13,1,0,2,2,1
448,34,0,0,1,2,1
449,5,1,2,3,0,1
450,52,0,0,1,2,1
451,36,0,1,2,2,0
452,28,0,1,3,2,0
453,30,0,0,1,0,0
454,49,0,1,1,0,1
455,28,0,0,3,2,0
456,29,0,0,3,0,1
457,65,0,0,1,2,0
458,28,1,1,1,2,1
459,50,1,0,2,2,1
460,28,0,0,3,1,0
461,48,0,0,1,2,1
462,34,0,0,3,2,0
463,47,0,0,1,2,0
464,48,0,0,2,2,0
465,28,0,0,3,2,0
466,38,0,0,3,2,0
467,28,0,0,2,2,0
468,56,0,0,1,2,0
469,28,0,0,3,1,0
470,1,1,2,3,0,1
471,28,0,0,3,2,0
472,38,0,0,3,2,0
473,33,1,1,2,2,1
474,23,1,0,2,0,1
475,22,1,0,3,2,0
476,28,0,0,1,2,0
477,34,0,1,2,2,0
478,29,0,1,3,2,0
479,22,0,0,3,2,0
480,2,1,0,3,2,1
481,9,0,5,3,2,0
482,28,0,0,2,2,0
483,50,0,0,3,2,0
484,63,1,0,3,2,1
485,25,0,1,1,0,1
486,28,1,3,3,2,0
487,35,1,1,1,2,1
488,58,0,0,1,0,0
489,30,0,0,3,2,0
490,9,0,1,3,2,1
491,28,0,1,3,2,0
492,21,0,0,3,2,0
493,55,0,0,1,2,0
494,71,0,0,1,0,0
495,21,0,0,3,2,0
496,28,0,0,3,0,0
497,54,1,1,1,0,1
498,28,0,0,3,2,0
499,25,1,1,1,2,0
500,24,0,0,3,2,0
501,17,0,0,3,2,0
502,21,1,0,3,1,0
503,28,1,0,3,1,0
504,37,1,0,3,2,0
505,16,1,0,1,2,1
506,18,0,1,1,0,0
507,33,1,0,2,2,1
508,28,0,0,1,2,1
509,28,0,0,3,2,0
510,26,0,0,3,2,1
511,29,0,0,3,1,1
512,28,0,0,3,2,0
513,36,0,0,1,2,1
514,54,1,1,1,0,1
515,24,0,0,3,2,0
516,47,0,0,1,2,0
517,34,1,0,2,2,1
518,28,0,0,3,1,0
519,36,1,1,2,2,1
520,32,0,0,3,2,0
521,30,1,0,1,2,1
522,22,0,0,3,2,0
523,28,0,0,3,0,0
524,44,1,0,1,0,1
525,28,0,0,3,0,0
526,41,0,0,3,1,0
527,50,1,0,2,2,1
528,28,0,0,1,2,0
529,39,0,0,3,2,0
530,23,0,2,2,2,0
531,2,1,1,2,2,1
532,28,0,0,3,0,0
533,17,0,1,3,0,0
534,28,1,0,3,0,1
535,30,1,0,3,2,0
536,7,1,0,2,2,1
537,45,0,0,1,2,0
538,30,1,0,1,0,1
539,28,0,0,3,2,0
540,22,1,0,1,0,1
541,36,1,0,1,2,1
542,9,1,4,3,2,0
543,11,1,4,3,2,0
544,32,0,1,2,2,1
545,50,0,1,1,0,0
546,64,0,0,1,2,0
547,19,1,1,2,2,1
548,28,0,0,2,0,1
549,33,0,1,3,2,0
550,8,0,1,2,2,1
551,17,0,0,1,0,1
552,27,0,0,2,2,0
553,28,0,0,3,1,0
554,22,0,0,3,0,1
555,22,1,0,3,2,1
556,62,0,0,1,2,0
557,48,1,1,1,0,1
558,28,0,0,1,0,0
559,39,1,1,1,2,1
560,36,1,1,3,2,1
561,28,0,0,3,1,0
562,40,0,0,3,2,0
563,28,0,0,2,2,0
564,28,0,0,3,2,0
565,28,1,0,3,2,0
566,24,0,2,3,2,0
567,19,0,0,3,2,0
568,29,1,0,3,2,0
569,28,0,0,3,0,0
570,32,0,0,3,2,1
571,62,0,0,2,2,1
572,53,1,2,1,2,1
573,36,0,0,1,2,1
574,28,1,0,3,1,1
575,16,0,0,3,2,0
576,19,0,0,3,2,0
577,34,1,0,2,2,1
578,39,1,1,1,2,1
579,28,1,1,3,0,0
580,32,0,0,3,2,1
581,25,1,1,2,2,1
582,39,1,1,1,0,1
583,54,0,0,2,2,0
584,36,0,0,1,0,0
585,28,0,0,3,0,0
586,18,1,0,1,2,1
587,47,0,0,2,2,0
588,60,0,1,1,0,1
589,22,0,0,3,2,0
590,28,0,0,3,2,0
591,35,0,0,3,2,0
592,52,1,1,1,0,1
593,47,0,0,3,2,0
594,28,1,0,3,1,0
595,37,0,1,2,2,0
596,36,0,1,3,2,0
597,28,1,0,2,2,1
598,49,0,0,3,2,0
599,28,0,0,3,0,0
600,49,0,1,1,0,1
601,24,1,2,2,2,1
602,28,0,0,3,2,0
603,28,0,0,1,2,0
604,44,0,0,3,2,0
605,35,0,0,1,0,1
606,36,0,1,3,2,0
607,30,0,0,3,2,0
608,27,0,0,1,2,1
609,22,1,1,2,0,1
610,40,1,0,1,2,1
611,39,1,1,3,2,0
612,28,0,0,3,2,0
613,28,1,1,3,1,1
614,28,0,0,3,1,0
615,35,0,0,3,2,0
616,24,1,1,2,2,1
617,34,0,1,3,2,0
618,26,1,1,3,2,0
619,4,1,2,2,2,1
620,26,0,0,2,2,0
621,27,0,1,3,0,0
622,42,0,1,1,2,1
623,20,0,1,3,0,1
624,21,0,0,3,2,0
625,21,0,0,3,2,0
626,61,0,0,1,2,0
627,57,0,0,2,1,0
628,21,1,0,1,2,1
629,26,0,0,3,2,0
630,28,0,0,3,1,0
631,80,0,0,1,2,1
632,51,0,0,3,2,0
633,32,0,0,1,0,1
634,28,0,0,1,2,0
635,9,1,3,3,2,0
636,28,1,0,2,2,1
637,32,0,0,3,2,0
638,31,0,1,2,2,0
639,41,1,0,3,2,0
640,28,0,1,3,2,0
641,20,0,0,3,2,0
642,24,1,0,1,0,1
643,2,1,3,3,2,0
644,28,0,0,3,2,1
645,1,1,2,3,0,1
646,48,0,1,1,0,1
647,19,0,0,3,2,0
648,56,0,0,1,0,1
649,28,0,0,3,2,0
650,23,1,0,3,2,1
651,28,0,0,3,2,0
652,18,1,0,2,2,1
653,21,0,0,3,2,0
654,28,1,0,3,1,1
655,18,1,0,3,1,0
656,24,0,2,2,2,0
657,28,0,0,3,2,0
658,32,1,1,3,1,0
659,23,0,0,2,2,0
660,58,0,0,1,0,0
661,50,0,2,1,2,1
662,40,0,0,3,0,0
663,47,0,0,1,2,0
664,36,0,0,3,2,0
665,20,0,1,3,2,1
666,32,0,2,2,2,0
667,25,0,0,2,2,0
668,28,0,0,3,2,0
669,43,0,0,3,2,0
670,28,1,1,1,2,1
671,40,1,1,2,2,1
672,31,0,1,1,2,0
673,70,0,0,2,2,0
674,31,0,0,2,2,1
675,28,0,0,2,2,0
676,18,0,0,3,2,0
677,25,0,0,3,2,0
678,18,1,0,3,2,1
679,43,1,1,3,2,0
680,36,0,0,1,0,1
681,28,1,0,3,1,0
682,27,0,0,1,0,1
683,20,0,0,3,2,0
684,14,0,5,3,2,0
685,60,0,1,2,2,0
686,25,0,1,2,0,0
687,14,0,4,3,2,0
688,19,0,0,3,2,0
689,18,0,0,3,2,0
690,15,1,0,1,2,1
691,31,0,1,1,2,1
692,4,1,0,3,0,1
693,28,0,0,3,2,1
694,25,0,0,3,0,0
695,60,0,0,1,2,0
696,52,0,0,2,2,0
697,44,0,0,3,2,0
698,28,1,0,3,1,1
699,49,0,1,1,0,0
700,42,0,0,3,2,0
701,18,1,1,1,0,1
702,35,0,0,1,2,1
703,18,1,0,3,0,0
704,25,0,0,3,1,0
705,26,0,1,3,2,0
706,39,0,0,2,2,0
707,45,1,0,2,2,1
708,42,0,0,1,2,1
709,22,1,0,1,2,1
710,28,0,1,3,0,1
711,24,1,0,1,0,1
712,28,0,0,1,2,0
713,48,0,1,1,2,1
714,29,0,0,3,2,0
715,52,0,0,2,2,0
716,19,0,0,3,2,0
717,38,1,0,1,0,1
718,27,1,0,2,2,1
719,28,0,0,3,1,0
720,33,0,0,3,2,0
721,6,1,0,2,2,1
722,17,0,1,3,2,0
723,34,0,0,2,2,0
724,50,0,0,2,2,0
725,27,0,1,1,2,1
726,20,0,0,3,2,0
727,30,1,3,2,2,1
728,28,1,0,3,1,1
729,25,0,1,2,2,0
730,25,1,1,3,2,0
731,29,1,0,1,2,1
732,11,0,0,3,0,0
733,28,0,0,2,2,0
734,23,0,0,2,2,0
735,23,0,0,2,2,0
736,29,0,0,3,2,0
737,48,1,1,3,2,0
738,35,0,0,1,0,1
739,28,0,0,3,2,0
740,28,0,0,3,2,0
741,28,0,0,1,2,1
742,36,0,1,1,2,0
743,21,1,2,1,0,1
744,24,0,1,3,2,0
745,31,0,0,3,2,1
746,70,0,1,1,2,0
747,16,0,1,3,2,0
748,30,1,0,2,2,1
749,19,0,1,1,2,0
750,31,0,0,3,1,0
751,4,1,1,2,2,1
752,6,0,0,3,2,1
753,33,0,0,3,2,0
754,23,0,0,3,2,0
755,48,1,1,2,2,1
756,1,0,1,2,2,1
757,28,0,0,3,2,0
758,18,0,0,2,2,0
759,34,0,0,3,2,0
760,33,1,0,1,2,1
761,28,0,0,3,2,0
762,41,0,0,3,2,0
763,20,0,0,3,0,1
764,36,1,1,1,2,1
765,16,0,0,3,2,0
766,51,1,1,1,2,1
767,28,0,0,1,0,0
768,31,1,0,3,1,0
769,28,0,1,3,1,0
770,32,0,0,3,2,0
771,24,0,0,3,2,0
772,48,0,0,3,2,0
773,57,1,0,2,2,0
774,28,0,0,3,0,0
775,54,1,1,2,2,1
776,18,0,0,3,2,0
777,28,0,0,3,1,0
778,5,1,0,3,2,1
779,28,0,0,3,1,0
780,43,1,0,1,2,1
781,13,1,0,3,0,1
782,17,1,1,1,2,1
783,29,0,0,1,2,0
784,28,0,1,3,2,0
785,25,0,0,3,2,0
786,25,0,0,3,2,0
787,18,1,0,3,2,1
788,8,0,4,3,1,0
789,1,0,1,3,2,1
790,46,0,0,1,0,0
791,28,0,0,3,1,0
792,16,0,0,2,2,0
793,28,1,8,3,2,0
794,28,0,0,1,0,0
795,25,0,0,3,2,0
796,39,0,0,2,2,0
797,49,1,0,1,2,1
798,31,1,0,3,2,1
799,30,0,0,3,0,0
800,30,1,1,3,2,0
801,34,0,0,2,2,0
802,31,1,1,2,2,1
803,11,0,1,1,2,1
804,0,0,0,3,0,1
805,27,0,0,3,2,1
806,31,0,0,3,2,0
807,39,0,0,1,2,0
808,18,1,0,3,2,0
809,39,0,0,2,2,0
810,33,1,1,1,2,1
811,26,0,0,3,2,0
812,39,0,0,3,2,0
813,35,0,0,2,2,0
814,6,1,4,3,2,0
815,31,0,0,3,2,0
816,28,0,0,1,2,0
817,23,1,0,3,2,0
818,31,0,1,2,0,0
819,43,0,0,3,2,0
820,10,0,3,3,2,0
821,52,1,1,1,2,1
822,27,0,0,3,2,1
823,38,0,0,1,2,0
824,27,1,0,3,2,1
825,2,0,4,3,2,0
826,28,0,0,3,1,0
827,28,0,0,3,2,0
828,1,0,0,2,0,1
829,28,0,0,3,1,1
830,62,1,0,1,,1
831,15,1,1,3,0,1
832,1,0,1,2,2,1
833,28,0,0,3,0,0
834,23,0,0,3,2,0
835,18,0,0,3,2,0
836,39,1,1,1,0,1
837,21,0,0,3,2,0
838,28,0,0,3,2,0
839,32,0,0,3,2,1
840,28,0,0,1,0,1
841,20,0,0,3,2,0
842,16,0,0,2,2,0
843,30,1,0,1,0,1
844,35,0,0,3,0,0
845,17,0,0,3,2,0
846,42,0,0,3,2,0
847,28,0,8,3,2,0
848,35,0,0,3,0,0
849,28,0,0,2,2,0
850,28,1,1,1,0,1
851,4,0,4,3,2,0
852,74,0,0,3,2,0
853,9,1,1,3,0,0
854,16,1,0,1,2,1
855,44,1,1,2,2,0
856,18,1,0,3,2,1
857,45,1,1,1,2,1
858,51,0,0,1,2,1
859,24,1,0,3,0,1
860,28,0,0,3,0,0
861,41,0,2,3,2,0
862,21,0,1,2,2,0
863,48,1,0,1,2,1
864,28,1,8,3,2,0
865,24,0,0,2,2,0
866,42,1,0,2,2,1
867,27,1,1,2,0,1
868,31,0,0,1,2,0
869,28,0,0,3,2,0
870,4,0,1,3,2,1
871,26,0,0,3,2,0
872,47,1,1,1,2,1
873,33,0,0,1,2,0
874,47,0,0,3,2,0
875,28,1,1,2,0,1
876,15,1,0,3,0,1
877,20,0,0,3,2,0
878,19,0,0,3,2,0
879,28,0,0,3,2,0
880,56,1,0,1,0,1
881,25,1,0,2,2,1
882,33,0,0,3,2,0
883,22,1,0,3,2,0
884,28,0,0,2,2,0
885,25,0,0,3,2,0
886,39,1,0,3,1,0
887,27,0,0,2,2,0
888,19,1,0,1,2,1
889,28,1,1,3,2,0
890,26,0,0,1,0,1
891,32,0,0,3,1,0
892,35,0,0,3,1,0
893,47,1,1,3,2,0
894,62,0,0,2,1,0
895,27,0,0,3,2,0
896,22,1,1,3,2,0
897,14,0,0,3,2,0
898,30,1,0,3,1,0
899,26,0,1,2,2,0
900,18,1,0,3,0,0
901,21,0,2,3,2,0
902,28,0,0,3,2,0
903,46,0,0,1,2,0
904,23,1,1,1,2,0
905,63,0,1,2,2,0
906,47,1,1,1,2,0
907,24,1,1,2,0,0
908,35,0,0,2,1,0
909,21,0,0,3,0,0
910,27,1,1,3,2,0
911,45,1,0,3,0,0
912,55,0,1,1,0,0
913,9,0,0,3,2,0
914,28,1,0,1,2,0
915,21,0,0,1,0,0
916,48,1,1,1,0,0
917,50,0,1,3,2,0
918,22,1,0,1,0,0
919,23,0,0,3,0,0
920,41,0,0,1,2,0
921,28,0,2,3,0,0
922,50,0,1,2,2,0
923,24,0,2,2,2,0
924,33,1,1,3,2,0
925,28,1,1,3,2,0
926,30,0,1,1,0,0
927,19,0,0,3,0,0
928,28,1,0,3,2,0
929,21,1,0,3,2,0
930,25,0,0,3,2,0
931,28,0,0,3,2,0
932,39,0,0,3,0,0
933,28,0,0,1,2,0
934,41,0,0,3,2,0
935,30,1,0,2,2,0
936,45,1,1,1,2,0
937,25,0,0,3,2,0
938,45,0,0,1,0,0
939,28,0,0,3,1,0
940,60,1,0,1,0,0
941,36,1,0,3,2,0
942,24,0,1,1,2,0
943,27,0,0,2,0,0
944,20,1,2,2,2,0
945,28,1,3,1,2,0
946,28,0,0,2,0,0
947,10,0,4,3,1,0
948,35,0,0,3,2,0
949,25,0,0,3,2,0
950,28,0,1,3,2,0
951,36,1,0,1,0,0
952,17,0,0,3,2,0
953,32,0,0,2,2,0
954,18,0,0,3,2,0
955,22,1,0,3,1,0
956,13,0,2,1,0,0
957,28,1,0,2,2,0
958,18,1,0,3,1,0
959,47,0,0,1,2,0
960,31,0,0,1,0,0
961,60,1,1,1,2,0
962,24,1,0,3,1,0
963,21,0,0,3,2,0
964,29,1,0,3,2,0
965,29,0,0,1,0,0
966,35,1,0,1,0,0
967,33,0,0,1,0,0
968,28,0,0,3,2,0
969,55,1,2,1,2,0
970,30,0,0,2,2,0
971,24,1,0,3,1,0
972,6,0,1,3,0,0
973,67,0,1,1,2,0
974,49,0,0,1,2,0
975,28,0,0,3,2,0
976,28,0,0,2,1,0
977,28,0,1,3,0,0
978,27,1,0,3,1,0
979,18,1,0,3,2,0
980,28,1,0,3,1,0
981,2,0,1,2,2,0
982,22,1,1,3,2,0
983,28,0,0,3,2,0
984,27,1,1,1,2,0
985,28,0,0,3,2,0
986,25,0,0,1,0,0
987,25,0,0,3,2,0
988,76,1,1,1,2,0
989,29,0,0,3,2,0
990,20,1,0,3,2,0
991,33,0,0,3,2,0
992,43,1,1,1,0,0
993,27,0,1,2,2,0
994,28,0,0,3,1,0
995,26,0,0,3,2,0
996,16,1,1,3,0,0
997,28,0,0,3,2,0
998,21,0,0,3,1,0
999,28,0,0,3,1,0
1000,28,0,0,3,2,0
1001,19,0,0,2,2,0
1002,41,0,0,2,0,0
1003,28,1,0,3,1,0
1004,36,1,0,1,0,0
1005,19,1,0,3,1,0
1006,63,1,1,1,2,0
1007,18,0,1,3,0,0
